new_name,description,disorder,coding
SDAN,Participant ID,individual item,
SEX,Sex,individual item,
Participant_Type2,,individual item,"HV: healthy volunteer, MDD: major depressive disorder, subthreshold depression classified as MDD for tracking purposes,  Anxious"
min_age,Youngest age of visit,individual item,
s_bdd_1_concerns_appearance,BDD: Concerns about appearance (Youth),Body Dysmorphic Disorder ,"no (0), a little (1), a lot (2)"
s_bdd_2a_skin_condition,BDD: Skin condition (Youth),Body Dysmorphic Disorder ,"no (0), a little (1), a lot (2)"
s_bdd_2b_skin_colour,BDD: Skin colour (Youth),Body Dysmorphic Disorder ,"no (0), a little (1), a lot (2)"
s_bdd_2c_hair_colour_or_condition,BDD: Hair colour or condition (Youth),Body Dysmorphic Disorder ,"no (0), a little (1), a lot (2)"
s_bdd_2d_muscle_bulk,BDD: Muscle bulk (Youth),Body Dysmorphic Disorder ,"no (0), a little (1), a lot (2)"
s_bdd_2e_body_shape_or_size,BDD: Body shape or size (Youth),Body Dysmorphic Disorder ,"no (0), a little (1), a lot (2)"
s_bdd_2f_facial_features,BDD: Facial features (Youth),Body Dysmorphic Disorder ,"no (0), a little (1), a lot (2)"
s_bdd_2g_other_body_part,BDD: Other body part (Youth),Body Dysmorphic Disorder ,"no (0), a little (1), a lot (2)"
s_bdd_2h_asymmetry,BDD: Asymmetry (Youth),Body Dysmorphic Disorder ,"no (0), a little (1), a lot (2)"
s_bdd_2i_other_aspect_of_appearance,BDD: Other aspect of appearance (Youth),Body Dysmorphic Disorder ,"no (0), a little (1), a lot (2)"
s_bdd_4a_compares_self_with_others,BDD: Repeatedly compares self with others (Youth),Body Dysmorphic Disorder ,"no (0), a little (1), a lot (2)"
s_bdd_4b_checking_own_appearance,BDD: Repeatedly checking own appearance (Youth),Body Dysmorphic Disorder ,"no (0), a little (1), a lot (2)"
s_bdd_4c_effort_improving_appearance,BDD: Putting a lot of effort into improving appearance (Youth),Body Dysmorphic Disorder ,"no (0), a little (1), a lot (2)"
s_bdd_4d_hiding_appearance,BDD: Hiding appearance (Youth),Body Dysmorphic Disorder ,"no (0), a little (1), a lot (2)"
s_bdd_4e_seeking_reassurance,BDD: Seeking reassurance about appearance (Youth),Body Dysmorphic Disorder ,"no (0), a little (1), a lot (2)"
s_bdd_4f_improve_body_shape,BDD: Efforts to improve muscle mass or body shape (Youth),Body Dysmorphic Disorder ,"no (0), a little (1), a lot (2)"
s_bdd_4g_surgery_requested_or_used,BDD: Cosmetic surgery requested or used (Youth),Body Dysmorphic Disorder ,"no (0), a little (1), a lot (2)"
s_bdd_5a_time_spent_worrying_appearance,BDD: Time spent worrying about appearance (Youth),Body Dysmorphic Disorder ,"little or no time (0), less than an hour (1), about an hour (2), a few hours (3), many hours (4)"
