SDAN,Unique Identifier,,,
AGE,Minimum age of subject at meeting,,,
SEX,"Sex of the subject (male, female)",,,
s_adhd_1a_child_says_teachers_complain,ADHD: Child says teachers complain (Youth),Attention and Activity,"no (0), a little (1), a lot (2)",
s_adhd_1b_child_says_parents_complain,ADHD: Child says parents complain (Youth),Attention and Activity,"no (0), a little (1), a lot (2)",
s_adhd_1c_child_thinks_self_hyperactive,ADHD: Child thinks self hyperactive (Youth),Attention and Activity,"no (0), a little (1), a lot (2)",
s_dep_1_sad,Dep: Sad (Youth),Depression,"no (0), yes (1)",
s_dep_2_miserable_daily,Dep: Miserable daily (Youth),Depression,"no (0), yes (1)",
s_dep_3_miserable_mostly,Dep: Miserable most of day (Youth),Depression,"no (0), yes (1)",
s_dep_4_miserable_cheered_up,Dep: Can be cheered up (Youth),Depression,"easily (0), with difficulty and only briefly (1), not at all (2)",
s_dep_5_miserable_duration,Dep: Duration (weeks) (Youth),Depression,"less than 2 weeks (0), 2 weeks or more (1)",
s_dep_7_irritable,Dep: Irritable (Youth),Depression,"no (0), yes (1)",
s_dep_8_irritable_daily,Dep: Irritable daily (Youth),Depression,"no (0), yes (1)",
s_dep_9_irratable_mostly,Dep: Irritable most of day (Youth),Depression,"no (0), yes (1)",
s_dep_10_irritable_improved,Dep: Improved by friends (Youth),Depression,"easily (0), with difficulty/only briefly (1), not at all (2)",
s_dep_11_irritable_duration,Dep: Duration (weeks) (Youth),Depression,"less than 2 weeks (0), 2 weeks or more (1)",
s_dep_13_anhedonia,Dep: Loss of interest (Youth),Depression,"no (0), yes (1)",
s_dep_14_anhedonia_daily,Dep: No interest daily (Youth),Depression,"no (0), yes (1)",
s_dep_15_anhedonia_mostly,Dep: No interest for most of the day (Youth),Depression,"no (0), yes (1)",
s_dep_16_anhedonia_duration,Dep: Duration (weeks) (Youth),Depression,"less than 2 weeks (0), 2 weeks or more (1)",
s_dep_17_coincided_mis_irrit,Dep: Coincided with irritability/misery (Youth),Depression,"no (0), yes (1)",
s_dep_18a_tired,Dep: Tired/no energy (Youth),Depression,"no (0), yes (1)",
s_dep_18b_appetite,Dep: Changed appetite (Youth),Depression,"no (0), yes (1)",
s_dep_18c_weight,Dep: Weight loss/gain (Youth),Depression,"no (0), yes (1)",
s_dep_18d_insomnia,Dep: Insomnia (Youth),Depression,"no (0), yes (1)",
s_dep_18e_hypersomnia,Dep: Hypersomnia (Youth),Depression,"no (0), yes (1)",
s_dep_18f_agitation,Dep: Agitation (Youth),Depression,"no (0), yes (1)",
s_dep_18g_worthless,"Dep: Feels worthless, guilty (Youth)",Depression,"no (0), yes (1)",
s_dep_18h_concentration,Dep: Poor concentration (Youth),Depression,"no (0), yes (1)",
s_dep_18i_thoughts_death,Dep: Thoughts of death (Youth),Depression,"no (0), yes (1)",
